UID	TIME	A	B	C	D	E	F
double	double	double	double	double	double	double	double
2	74	56.250000	0.391066	0.277808	-0.071298	0.008599	0.009706
2	75	53.250000	0.391066	0.569275	-0.138544	0.019288	0.014102
2	76	52.500000	0.391066	0.664664	-0.159540	0.023005	0.014937
2	77	52.875000	0.391066	0.590111	-0.147568	0.021273	0.014268
2	78	53.375000	0.391066	0.505209	-0.131412	0.019120	0.013277
2	79	52.500000	0.391066	0.627313	-0.158324	0.015751	0.014573
2	80	52.375000	0.391066	0.647442	-0.161836	0.019200	0.014714
2	81	54.250000	0.391066	0.395468	-0.108546	0.016184	0.011851
2	82	53.375000	0.391066	0.500211	-0.131438	0.020010	0.013245
2	83	54.750000	0.391066	0.344288	-0.096868	0.016511	0.011093
2	84	53.375000	0.391066	0.500430	-0.131498	0.020050	0.013251
2	85	54.750000	0.391066	0.344438	-0.096908	0.016528	0.011098
2	86	53.500000	0.391066	0.484454	-0.127944	0.016617	0.013030
2	87	53.750000	0.391066	0.453386	-0.121030	0.020368	0.012641
2	88	54.125000	0.391066	0.409858	-0.111956	0.016016	0.012137
2	89	53.625000	0.391066	0.468971	-0.124746	0.016081	0.012886
2	90	55.625000	0.391066	0.269195	-0.077552	0.014817	0.009618
2	91	56.250000	0.391066	0.225207	-0.063982	0.013968	0.008424
2	92	55.250000	0.391066	0.299838	-0.084406	0.011647	0.010134
2	93	54.625000	0.391066	0.357386	-0.100160	0.013464	0.011355
2	94	57.875000	0.391066	0.141800	-0.040538	0.007208	0.006148
2	95	56.875000	0.391066	0.188763	-0.053778	0.011224	0.007532
2	96	56.000000	0.391066	0.242092	-0.069022	0.013736	0.008871
2	97	58.125000	0.391066	0.132125	-0.037422	0.009000	0.005800
2	98	58.500000	0.391066	0.118953	-0.033192	0.005912	0.005332
2	99	58.500000	0.391066	0.118979	-0.033200	0.005864	0.005336
2	100	57.250000	0.391066	0.169706	-0.048746	0.010904	0.007006
2	101	57.250000	0.391066	0.169744	-0.048760	0.010872	0.007008
2	102	55.750000	0.391066	0.260368	-0.074778	0.015336	0.009384
2	103	57.000000	0.391066	0.182504	-0.052190	0.006128	0.007340
2	104	57.500000	0.391066	0.158114	-0.045170	0.009536	0.006674
2	105	59.000000	0.391066	0.103501	-0.029722	0.003288	0.004933
2	106	58.625000	0.391066	0.108939	-0.033094	0.005112	0.005283
2	107	58.750000	0.391066	0.094234	-0.029160	0.005488	0.004658
2	108	59.000000	0.391066	0.079048	-0.025850	0.007416	0.004171
2	109	56.500000	0.391066	0.162370	-0.051070	0.010297	0.006687
2	110	55.125000	0.391066	0.228771	-0.072396	0.015288	0.008310
2	111	56.000000	0.391066	0.156992	-0.053350	0.011039	0.006572
2	112	57.875000	0.391066	0.072087	-0.027304	0.007088	0.003895
2	113	58.125000	0.391066	0.055385	-0.021966	0.003856	0.003175
2	114	59.250000	0.391066	0.028073	-0.012650	0.005408	0.001936
2	115	61.500000	0.391066	0.008343	-0.003750	0.001304	0.000690
2	116	62.000000	0.391066	0.004410	-0.002652	0.000872	0.000481
2	117	63.375000	0.391066	0.001343	-0.000996	0.000696	0.000196
2	118	63.750000	0.391066	0.000799	-0.000568	0.000320	0.000115
2	119	63.000000	0.391066	0.000962	-0.000718	0.000048	0.000141
2	120	64.875000	0.391066	0.000181	-0.000070	-0.000008	0.000016
3	1	45.500000	0.339022	2.632640	-0.291598	0.016199	0.018748
3	2	45.750000	0.339022	2.558323	-0.288814	0.007912	0.018982
3	3	46.250000	0.339022	2.413854	-0.278784	0.017893	0.019390
3	4	45.250000	0.339022	2.701647	-0.300350	0.010599	0.018331
3	5	46.625000	0.339022	2.305241	-0.273646	0.010431	0.019660
3	6	47.750000	0.339022	2.005657	-0.253008	0.015335	0.020419
3	7	46.625000	0.339022	2.299493	-0.275222	0.012041	0.019567
3	8	47.500000	0.339022	2.062432	-0.259970	0.013641	0.020212
3	9	47.375000	0.339022	2.091542	-0.263018	0.008665	0.020077
3	10	47.500000	0.339022	2.055074	-0.261318	0.015087	0.020121
3	11	46.875000	0.339022	2.218677	-0.273434	0.013706	0.019604
3	12	46.625000	0.339022	2.284586	-0.278620	0.012266	0.019331
3	13	46.750000	0.339022	2.246764	-0.277358	0.007685	0.019395
3	14	46.125000	0.339022	2.421579	-0.292181	0.014875	0.018804
3	15	46.000000	0.339022	2.455778	-0.295937	0.009651	0.018619
3	16	46.875000	0.339022	2.202081	-0.278248	0.014912	0.019375
3	17	46.625000	0.339022	2.269011	-0.283348	0.010122	0.019095
3	18	46.875000	0.339022	2.195166	-0.280058	0.013914	0.019268
3	19	48.000000	0.339022	1.889025	-0.257494	0.014541	0.019928
3	20	47.875000	0.339022	1.916977	-0.260256	0.005929	0.019799
3	21	45.625000	0.339022	2.555385	-0.310690	0.012697	0.017910
3	22	45.625000	0.339022	2.553199	-0.312088	0.011074	0.017856
3	23	44.875000	0.339022	2.791630	-0.329856	0.012203	0.016875
3	24	44.875000	0.339022	2.790246	-0.330832	0.011381	0.016824
3	25	42.500000	0.339022	3.619318	-0.364344	0.006577	0.013039
3	26	43.250000	0.339022	3.350132	-0.357944	0.002964	0.014223
3	27	44.000000	0.339022	3.084585	-0.348452	0.012913	0.015371
3	28	44.875000	0.339022	2.784523	-0.335336	0.011292	0.016575
3	29	45.875000	0.339022	2.457374	-0.315174	0.013424	0.017778
3	30	45.500000	0.339022	2.574887	-0.324740	0.012619	0.017275
3	31	46.125000	0.339022	2.373214	-0.311270	0.016077	0.017919
3	32	46.375000	0.339022	2.292801	-0.306592	0.011230	0.018116
3	33	45.625000	0.339022	2.526989	-0.325966	0.014198	0.017241
3	34	46.000000	0.339022	2.403326	-0.318220	0.014807	0.017619
3	35	45.625000	0.339022	2.521909	-0.329080	0.013849	0.017119
3	36	46.750000	0.339022	2.163546	-0.303722	0.013025	0.018218
