id anom1989 anom1990 anom1991 anom1992 anom1993 anom1994 anom1995 anom1996 anom1997 anom1998 anom1999 anom2000 anom2001 maxabs relchg cv posper negper dem slope aspect cti nearstrm
double double double double double double double double double double double double double double double double double double double double double double double double
48 -0.0180769 -0.0480769 -0.0380769 0.0019231 -0.0330769 -0.0230769 -0.0330769 -0.033077 0.0619231 0.0269231 0.0769231 0.0369231 0.0219231 0.0769231 0.826446 2.35966 5 0 2195 3.48 303 2.8 9499.6 
49 -0.035 -0.04 -0.01 -0.00499996 -0.035 -0.04 -0.04 -0.0400001 0.045 0.055 0.075 0.035 0.035 0.075 0.75 2.42536 4 2 2023 8.23 111 1.93 8623.77 
50 -0.0592308 -0.0342308 -0.0142308 -0.00423076 -0.0442308 0.00576923 -0.0242308 -0.0492308 0.0557692 0.0457692 0.0757693 0.0507693 -0.00423076 0.0757693 0.6633 2.69001 7 0 1879 10.63 126 2.77 7777.95 
51 -0.065 -0.045 -0.015 0.00999999 -0.06 0.025 -0.03 -0.02 0.06 0.07 0.055 0.03 -0.015 0.07 0.583333 2.75021 8 0 1695 9.8 155 3.84 6973.06 
52 -0.0592308 -0.0492308 -0.0192308 0.00576922 -0.0492308 0.0257693 -0.0492308 -0.0242307 0.0507692 0.0707692 0.0607692 0.0307693 0.00576922 0.0707692 0.569659 2.85049 7 0 1676 11.88 193 2.25 6224.99 
53 -0.0515385 -0.0515385 -0.0215385 -0.00153846 -0.0315384 0.0134616 -0.0665385 -0.0465385 0.0134615 0.0884615 0.0634615 0.108462 -0.0165384 0.108462 0.892405 2.25933 6 0 1931 12.6 167 1.5 5556.75 
54 -0.0492307 -0.0392308 -0.0392308 -0.0192308 -0.0292308 -0.0342308 -0.0442308 -0.0392308 0.0207692 0.0757692 0.0857692 0.100769 0.0107692 0.100769 0.750716 2.57988 5 0 1635 13.53 132 2.12 5000.45 
55 -0.0423077 -0.0623077 -0.0423077 -0.00730771 -0.0373077 -0.0373077 -0.0523077 -0.0523077 0.0526923 0.0926923 0.0926923 0.0926923 0.00269228 0.0926923 0.651351 2.43696 5 0 1492 3.55 132 6.82 4596.9 
56 0.0138462 -0.0611538 -0.0361538 0.00384612 -0.0411538 -0.0161539 -0.0561539 -0.0411538 0.0538461 0.0738462 0.0688462 0.0538461 -0.0161539 0.0738462 0.505263 3.13206 4 2 1585 9.13 290 2.52 4388.45 
57 -0.0219231 -0.0469231 -0.0269231 0.0130769 -0.0369231 0.00307696 -0.0369231 -0.0419231 0.0480769 0.063077 0.063077 0.0330769 -0.0119231 0.063077 0.444445 3.65723 5 0 1909 10.96 315 1.64 4402.9 
58 0.0269231 -0.0480769 -0.0130769 0.011923 -0.0580769 -0.00307689 -0.0280769 -0.0630769 0.0469231 0.0769231 0.0419231 0.0319231 -0.0230769 0.0769231 0.502513 3.64509 2 2 1910 11.87 9 1.56 4638.16 
59 0.00461539 -0.0253846 -0.000384606 0.00961539 -0.0803847 -0.0353846 -0.0103847 -0.0303846 0.0396154 0.0496154 0.0646154 0.0446154 -0.0303846 0.0803847 0.458334 4.40338 3 3 1871 10.48 34 1.69 5022.38 
60 -0.0303846 -0.0103846 -0.0153846 -0.0153846 -0.0653846 -0.00538461 -0.0253847 -0.0453846 0.0646154 0.0696154 0.0596154 0.0646154 -0.0453846 0.0696154 0.365657 4.15278 3 2 1707 6.89 61 2.11 5230.12 
61 -0.0165385 0.0284616 0.00846153 0.0134615 -0.0765384 0.0134615 -0.0365385 -0.0715385 0.0384616 0.0534615 0.0434615 0.0684615 -0.0665384 0.0765384 0.410309 3.93802 2 2 1585 2.89 75 4.93 5575.43 
62 -0.02 -0.00500002 0.00500003 0.035 -0.085 0.03 -0.075 -0.045 0.065 0.03 0.035 0.08 -0.05 0.085 0.566667 2.99081 3 1 1505 11.02 239 5.19 5641.22 
63 -0.0653846 -0.0303846 -0.0303846 -0.000384606 -0.0603847 0.0646154 -0.0503846 -0.0053846 0.0346154 0.0296154 0.0546153 0.124615 -0.0653846 0.124615 1.08 2.04532 6 0 1959 15.62 210 1.27 5109.41 
64 -0.0576923 -0.0576924 -0.0276923 0.00730771 -0.0526923 0.0473077 -0.0426923 0.00230771 0.0323077 0.0523077 0.0673077 0.0873077 -0.0576924 0.0873077 0.850187 2.02053 6 0 1853 13.13 168 1.46 4731.69 
65 -0.0753846 -0.0553846 -0.0303846 0.0146154 -0.0403847 0.0646154 -0.0603846 -0.0403847 0.0346154 0.0546154 0.0746154 0.0996154 -0.0403846 0.0996154 1.10213 1.58502 7 0 1718 6.01 137 2.94 4546.6 
66 0.0161539 -0.00384613 -0.00384613 0.00615386 -0.178846 -0.0538461 -0.0938462 -0.0438462 0.0311538 0.126154 0.126154 0.106154 -0.0338462 0.178846 0.588608 3.62851 3 3 1180 20.22 256 2.79 9925.12 
67 0.0126923 0.00769231 0.0426923 -0.0123077 -0.147308 0.0126923 -0.0873077 -0.0673077 -0.0423077 0.0876924 0.172692 0.0676923 -0.0473077 0.172692 0.712698 3.04479 1 3 1863 20 260 1.01 10792 
68 0.0265385 -0.0284615 -0.0384615 -0.0334616 -0.0734615 0.0415384 -0.0284615 -0.0484615 0.0215385 0.0965384 0.0665385 0.0115385 -0.0134616 0.0965384 0.590588 3.46572 4 2 2027 10.91 255 1.65 11438.3 
69 0.01 -0.03 -0.05 0.01 -0.03 0.02 -0.05 -0.03 0.035 0.07 0.06 0.015 -0.03 0.07 0.666667 2.73575 3 1 2196 4.39 264 2.57 10966.1 
70 0.0138462 -0.0361539 -0.0261538 0.00384619 -0.0261539 -0.0161539 -0.0261538 -0.0111539 0.0438462 0.0338462 0.0388462 -0.00615386 0.0138462 0.0438462 0.540284 3.1267 4 2 2116 3.87 301 2.69 10019.1 
71 -0.0296154 -0.0346154 -0.0296154 0.00538467 -0.0246154 -0.00961537 -0.0346154 -0.0296154 0.0553846 0.0403846 0.0653846 0.00538467 0.0203846 0.0653846 0.876289 2.18405 6 0 2234 1.52 111 3.63 9083.45 
72 -0.0334615 -0.0534616 -0.0134615 0.0015385 -0.0234615 -0.0234615 -0.0384615 -0.0434616 0.0365385 0.0715385 0.0515385 0.0415385 0.0265385 0.0715385 0.765432 2.37279 5 0 2073 7.52 87 2.02 8163.1 
73 -0.0503846 -0.0603846 -0.0403846 -0.0153846 -0.0353846 -0.00038462 -0.0353846 -0.0703846 0.0496154 0.0696154 0.0696154 0.0996154 0.0196154 0.0996154 0.794479 2.31995 7 0 1837 9.55 69 2.48 7263.82 
74 -0.0680769 -0.0730769 -0.043077 -0.0130769 -0.043077 0.0269231 -0.048077 -0.0780769 0.0419231 0.0669231 0.0969231 0.121923 0.0119231 0.121923 0.883008 2.14982 7 0 1742 7.76 75 1.99 6394.54 
75 -0.0726923 -0.0776923 -0.0426923 -0.0126923 -0.0426923 0.00230767 -0.0626923 -0.0626923 0.0373077 0.0873077 0.0973077 0.122308 0.0273077 0.122308 0.888268 2.07614 6 0 1632 1.07 226 6.46 5569.3 
76 -0.0726923 -0.0826923 -0.0476924 -0.0126923 -0.0276923 -0.00269227 -0.0526923 -0.0576923 0.0673077 0.0823077 0.0873077 0.107308 0.0123077 0.107308 0.779329 2.17646 7 0 1632 3.38 125 6.26 4810.83 
77 -0.0634615 -0.0834615 -0.0484616 -0.00346156 -0.0184616 0.00153849 -0.0484616 -0.0584615 0.0665385 0.0765385 0.0715385 0.101539 0.00653843 0.101539 0.733333 2.34768 7 0 1492 5.79 96 6.16 4155.85 
